"filename", "language", "C#", "JSON", "Markdown", "XML", "YAML", "Docker", "Properties", "comment", "blank", "total"
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/PrivateDataServer.Test.csproj", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/RegisterApiTest.cs", "C#", 125, 0, 0, 0, 0, 0, 0, 18, 19, 162
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/MvcTestingAppManifest.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/PrivateDataServer.Test.deps.json", "JSON", 0, 5602, 0, 0, 0, 0, 0, 0, 0, 5602
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/PrivateDataServer.Test.runtimeconfig.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 19
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/PrivateDataServer.deps.json", "JSON", 0, 1664, 0, 0, 0, 0, 0, 0, 0, 1664
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/PrivateDataServer.runtimeconfig.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/PrivateDataServer.staticwebassets.endpoints.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/appsettings.Development.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/appsettings.Test.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/bin/Debug/net9.0/appsettings.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/Debug/net9.0/.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/Debug/net9.0/MvcTestingAppManifest.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/Debug/net9.0/PrivateDataServer.Test.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/Debug/net9.0/PrivateDataServer.Test.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/Debug/net9.0/PrivateDataServer.Test.GlobalUsings.g.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/Debug/net9.0/PrivateDataServer.Test.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/PrivateDataServer.Test.csproj.nuget.dgspec.json", "JSON", 0, 225, 0, 0, 0, 0, 0, 0, 0, 225
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/PrivateDataServer.Test.csproj.nuget.g.props", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/PrivateDataServer.Test.csproj.nuget.g.targets", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer.Test/obj/project.assets.json", "JSON", 0, 5596, 0, 0, 0, 0, 0, 0, 0, 5596
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Api/FileManagerController.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 5, 8, 45
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Api/LoginController.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 15, 7, 58
"/Users/maedamitsuhiro/Documents/書類 - 前田光博のMacBook Pro - 1/PrivateDataServer/PrivateDataServer/Api/UserManagerController.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 15, 5, 67
